model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
RandomForest,0.861244019138756,0.8561770722840281,0.8637728785905079,0.8561770722840281,0.8565893885128653,0.8603076361999317
StackingEnsemble,0.8492822966507177,0.8440520684377725,0.8487911629966716,0.8440520684377725,0.8454143674608751,0.8498557592923502
GradientBoosting,0.8397129186602871,0.8353678279461345,0.8359834395522473,0.8353678279461345,0.8344870968324033,0.8384968328960591
SVM_RBF,0.7918660287081339,0.786838101361805,0.8154696493982209,0.786838101361805,0.7925650610628919,0.7968500321876333
kNN,0.7679425837320574,0.7597903515940313,0.7645171375778028,0.7597903515940313,0.7469758797698197,0.7523080021590691
DecisionTree,0.7368421052631579,0.733648191818096,0.7342356585892255,0.733648191818096,0.7296165494931168,0.7354184987457653
LogisticRegression,0.5909090909090909,0.5772156392207659,0.5803480507805034,0.5772156392207659,0.553601254174304,0.5622453856490662
