strategy,macro_f1,balanced_accuracy,recall_Insufficient_Weight,recall_Normal_Weight,recall_Overweight_Level_I,recall_Overweight_Level_II,recall_Obesity_Type_I,recall_Obesity_Type_II,recall_Obesity_Type_III
baseline,0.841991888998189,0.841878070747059,0.8691029900332227,0.7244444444444444,0.742020202020202,0.7411655874190564,0.8539473684210526,0.9663120567375886,0.9961538461538462
class_weight_balanced,0.8484910053232524,0.8489196173897706,0.8784053156146179,0.7466666666666666,0.7601010101010102,0.7628122109158186,0.8361528822055136,0.962145390070922,0.9961538461538462
smote_oversampling,0.8488602236386118,0.8489383975976803,0.8691029900332226,0.7511111111111111,0.7511111111111111,0.7584643848288622,0.8503132832080201,0.9663120567375886,0.9961538461538462
