model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
StackingEnsemble,0.9808612440191388,0.9809158260286079,0.980599464064373,0.9809158260286079,0.9805338971499522,0.9809000479888912
GradientBoosting,0.9736842105263158,0.9732147551696425,0.9723817654939149,0.9732147551696425,0.9726041877335455,0.973574587220005
DecisionTree,0.9617224880382775,0.9619407124722137,0.9614100715737409,0.9619407124722137,0.9612507814054135,0.9615688410257847
RandomForest,0.9545454545454546,0.9532786802020394,0.9559078176725235,0.9532786802020394,0.9536556129574809,0.9552778435537997
SVM_RBF,0.9401913875598086,0.9369174654013296,0.9372112359271695,0.9369174654013296,0.9369837916847867,0.9400666301796499
LogisticRegression,0.937799043062201,0.9366286638778212,0.9355995722188207,0.9366286638778212,0.9353749084580477,0.937391518772356
kNN,0.854066985645933,0.8474840744901062,0.8476639454580631,0.8474840744901062,0.8414938962132962,0.8458619363062222
