model,cv_r2_train,test_r2,test_mae,test_rmse
RandomForestRegressor,0.861270999969814,0.8689174338351346,1.8824303682659098,2.9302448479310743
Lasso,0.44978592520179345,0.462249251962249,4.745424014955431,5.935016834993002
Ridge,0.4512329022627292,0.46221616295736434,4.7244199633754445,5.935199429606649
OLS,0.44992311139043917,0.45964421067005645,4.72658200637272,5.949375052718542
